Date,rate,is_filled,ret_pct,iqr_outlier,suspect_tick,ma5,ma20,ma60,dev_ma20_pct,vol20_annual_pct
2024-09-05,1331.010009765625,False,,False,False,,,,,
2024-09-06,1332.7900390625,False,0.1337352299242589,False,False,,,,,
2024-09-09,1337.77001953125,False,0.373650786905122,False,False,,,,,
2024-09-10,1341.27001953125,False,0.2616294242583139,False,False,,,,,
2024-09-11,1343.3399658203125,False,0.15432733595177606,False,False,1337.2360107421875,,,,
2024-09-12,1339.1800537109375,False,-0.309669347687036,False,False,1338.87001953125,,,,
2024-09-13,1335.68994140625,False,-0.2606156128906023,False,False,1339.45,,,,
2024-09-16,1329.510009765625,False,-0.46267711158464175,False,False,1337.797998046875,,,,
2024-09-17,1319.1099853515625,False,-0.7822449126122732,False,False,1333.3659912109374,,,,
2024-09-18,1322.9300537109375,False,0.28959437816376,False,False,1329.2840087890625,,,,
2024-09-19,1322.260009765625,False,-0.05064847861252497,False,False,1325.9,,,,
2024-09-20,1327.6099853515625,False,0.40460843906833244,False,False,1324.2840087890625,,,,
2024-09-23,1331.5,False,0.29300884230751834,False,False,1324.6820068359375,,,,
2024-09-24,1333.6199951171875,False,0.15921855930811635,False,False,1327.5840087890624,,,,
2024-09-25,1324.8900146484375,False,-0.6546077968771713,False,False,1327.9760009765625,,,,
2024-09-26,1335.050048828125,False,0.7668586876913963,False,False,1330.5340087890625,,,,
2024-09-27,1313.300048828125,False,-1.629152406615142,True,False,1327.672021484375,,,,
2024-09-30,1309.300048828125,False,-0.30457624695661156,False,False,1323.23203125,,,,
2024-10-01,1315.3299560546875,False,0.46054433679731943,False,False,1319.5740234375,,,,
2024-10-02,1324.8399658203125,False,0.7230132425593228,False,False,1319.564013671875,1328.5150085449218,,-0.27662786652552507,
2024-10-03,1324.030029296875,False,-0.06113466866437545,False,False,1317.360009765625,1328.1660095214843,,-0.3114053661183114,8.987890148755389
2024-10-04,1334.4100341796875,False,0.7839705031708943,False,False,1321.5820068359376,1328.2470092773438,,0.46399689660863164,9.42566975544551
2024-10-07,1345.8800048828125,False,0.8595536910943613,False,False,1328.897998046875,1328.6525085449218,,1.2966141430581724,9.825184032857155
2024-10-08,1342.3699951171875,False,-0.26079663513023377,False,False,1334.306005859375,1328.7075073242188,,1.0282539774673527,9.838273557246909
2024-10-09,1341.31005859375,False,-0.07896008755358119,False,False,1337.6000244140625,1328.6060119628905,,0.9561936734043819,9.826445348226136
2024-10-10,1343.02001953125,False,0.1274843893508626,False,False,1341.3980224609375,1328.7980102539063,,1.0702912833701506,9.769467323613112
2024-10-11,1349.739990234375,False,0.5003626606750355,False,False,1344.464013671875,1329.5005126953124,,1.5223369487861849,9.856611334704366
2024-10-14,1348.3299560546875,False,-0.10446709661782183,False,False,1344.95400390625,1330.4415100097656,,1.3445496032960191,9.688057716231288
2024-10-15,1357.27001953125,False,0.663047159667185,False,False,1347.9340087890625,1332.34951171875,,1.8704182043308037,9.35012379786761
2024-10-16,1363.1800537109375,False,0.43543540302530825,False,False,1352.3080078125,1334.36201171875,,2.159686931964422,9.394398505830106
2024-10-17,1364.199951171875,False,0.07481751645066481,False,False,1356.543994140625,1336.4590087890624,,2.075704694298719,9.369088996530479
2024-10-18,1370.050048828125,False,0.4288299271103746,False,False,1360.606005859375,1338.5810119628907,,2.3509250903752443,9.377938223210075
2024-10-21,1369.010009765625,False,-0.07591248680218765,False,False,1364.7420166015625,1340.4565124511719,,2.1301323130759275,9.399489035980295
2024-10-22,1376.5,False,0.5471099685865122,False,False,1368.5880126953125,1342.6005126953125,,2.524912435541471,9.509835592190157
2024-10-23,1376.6300048828125,False,0.009444597371044416,False,False,1371.2780029296875,1345.1875122070312,,2.3374059296903615,9.03563409296226
2024-10-24,1377.3399658203125,False,0.051572385824938394,False,False,1373.906005859375,1347.3020080566407,,2.229489571309906,8.786701684762942
2024-10-25,1376.3199462890625,False,-0.0740572085732305,False,False,1375.1599853515625,1350.4530029296875,,1.9154271420966928,5.828849423249135
2024-10-28,1387.6600341796875,False,0.8239427119545173,False,False,1378.889990234375,1354.3710021972656,,2.4578960955613516,5.81909926165
2024-10-29,1381.969970703125,False,-0.4100473701345808,False,False,1379.983984375,1357.7030029296875,,1.787354651280415,6.285887419790428
2024-10-30,1383.1800537109375,False,0.0875621781562197,False,False,1381.293994140625,1360.6200073242187,,1.6580710459406678,6.049465576325417
2024-10-31,1378.5699462890625,False,-0.33329770838630424,False,False,1381.539990234375,1363.3470031738282,,1.116586098755179,6.287520915350697
2024-11-01,1372.9300537109375,False,-0.4091118186136944,False,False,1380.86201171875,1365.2730041503905,,0.5608438412881389,6.250980747349001
2024-11-04,1379.3399658203125,False,0.46687827191556064,False,False,1379.197998046875,1366.9460021972657,,0.9066900669905342,5.792678419665762
2024-11-05,1372.8599853515625,False,-0.46978849517321786,False,False,1377.3760009765624,1368.4705017089843,,0.3207583676152703,6.01962401822406
2024-11-06,1378.0,False,0.37440195673859034,False,False,1376.339990234375,1370.304998779297,,0.5615539042445272,6.042898023476397
2024-11-07,1399.800048828125,False,1.582006446162909,True,False,1380.5860107421875,1373.1440002441407,,1.941242038653268,7.928191918097353
2024-11-08,1372.0799560546875,False,-1.9802894561008255,True,False,1380.4159912109376,1374.2609985351562,,-0.15870656904282132,11.008293906420155
2024-11-11,1397.199951171875,False,1.8307967408414116,True,False,1383.98798828125,1376.7044982910156,,1.4887329057398757,12.596700633073313
2024-11-12,1400.550048828125,False,0.23977224257989427,False,False,1389.5260009765625,1378.8684997558594,,1.5724160118317787,12.470917778416274
2024-11-13,1406.6500244140625,False,0.43554142110391325,False,False,1395.256005859375,1381.0419982910157,,1.8542539730678431,12.470948839877524
2024-11-14,1399.0,False,-0.5438470324023226,False,False,1395.09599609375,1382.782000732422,,1.1728529340841787,12.717909568990072
2024-11-15,1400.8299560546875,False,0.13080457860525918,False,False,1400.84599609375,1384.32099609375,,1.1925673313864404,12.668647541064416
2024-11-18,1394.3499755859375,False,-0.46258151753124643,False,False,1400.2760009765625,1385.5879943847656,,0.6323655543120088,12.81905587566889
2024-11-19,1389.5,False,-0.3478305784671787,False,False,1398.0659912109375,1386.2379943847657,,0.23531353407191258,12.793870842020517
2024-11-20,1392.1600341796875,False,0.19143822811713562,False,False,1395.1679931640624,1387.0144958496094,,0.37097941986008465,12.802508592777336
2024-11-21,1397.6199951171875,False,0.39219348375543195,False,False,1394.8919921875,1388.028497314453,,0.6910159136712224,12.856797988792604
2024-11-22,1399.5999755859375,False,0.1416680124545655,False,False,1394.64599609375,1389.1924987792968,,0.7491745611775125,12.846153310923748
2024-11-25,1403.510009765625,False,0.2793679799866,False,False,1396.4780029296876,1389.9849975585937,,0.9730329630022627,12.574376077700462
2024-11-26,1395.56005859375,False,-0.5664335214255134,False,False,1397.6900146484375,1390.664501953125,,0.352030028360506,12.663810749013562
2024-11-27,1395.27001953125,False,-0.020782986781109347,False,False,1398.31201171875,1391.2690002441407,1360.1346720377603,0.28758056755431305,12.665610794031535
2024-11-28,1388.469970703125,False,-0.487364361946907,False,False,1396.4820068359375,1391.7640014648437,1361.0923380533854,-0.23668026750596205,12.738489998146072
2024-11-29,1393.300048828125,False,0.3478705500957968,False,False,1395.222021484375,1392.7825012207031,1362.1008382161458,0.03715925544500731,12.668635171875751
2024-12-02,1399.8599853515625,False,0.4708200885340519,False,False,1394.4920166015625,1393.8085021972656,1363.1356709798176,0.4341689080499256,12.670253020257237
2024-12-03,1401.06005859375,False,0.0857280910051994,False,False,1395.5920166015626,1395.218505859375,1364.1321716308594,0.4186837194204873,12.504716392816112
2024-12-04,1411.6700439453125,False,0.7572826936635302,False,False,1398.872021484375,1396.9020080566406,1365.2710062662761,1.0571991308980344,12.68678970819095
2024-12-05,1410.800048828125,False,-0.061628786480161235,False,False,1403.338037109375,1397.4520080566406,1366.4646728515625,0.9551698873757175,11.463731877633924
2024-12-06,1399.989990234375,False,-0.7662360518579048,False,False,1404.676025390625,1398.847509765625,1367.5363403320312,0.08167298156331881,9.212714107934083
2024-12-09,1424.219970703125,False,1.7307252650208937,True,False,1409.5480224609375,1400.1985107421874,1369.1148396809897,1.7155753114038719,8.967274728208405
2024-12-10,1426.5999755859375,False,0.1671093603355045,False,False,1414.656005859375,1401.5010070800781,1370.906339518229,1.7908633942512298,8.955667449540021
2024-12-11,1433.949951171875,False,0.515209288638796,False,False,1419.1119873046875,1402.8660034179688,1372.7566711425782,2.215746028357146,9.000354406069407
2024-12-12,1429.1500244140625,False,-0.33473460868629346,False,False,1422.781982421875,1404.3735046386719,1374.5381713867187,1.7642400467933417,8.831695051098116
2024-12-13,1427.8599853515625,False,-0.0902661750314726,False,False,1428.3559814453124,1405.7250061035156,1376.209004720052,1.5746308240899953,8.858987948642065
2024-12-16,1434.449951171875,False,0.4615274528258384,False,False,1430.4019775390625,1407.7300048828124,1377.9248372395834,1.8980874312817475,8.69038204706572
2024-12-17,1431.3499755859375,False,-0.21610900982672598,False,False,1431.3519775390625,1409.8225036621093,1379.5536702473958,1.526963278562321,8.603799317958774
2024-12-18,1436.4200439453125,False,0.35421584139823103,False,False,1431.84599609375,1412.0355041503906,1381.4125040690103,1.7269069880501364,8.633580343243958
2024-12-19,1451.5,False,1.0498291302917462,False,False,1436.3159912109375,1414.7295043945312,1383.3533365885417,2.5991184527678124,9.169149239400468
2024-12-20,1437.449951171875,False,-0.9679675389683062,False,False,1438.233984375,1416.622003173828,1385.422501627604,1.4702544469437528,10.05168589001019
